'HKLM:\SYSTEM\CurrentControlSet\Services\LanmanWorkstation\Parameters',"RequireSecuritySignature","1"
'HKLM:\System\Currentcontrolset\control\lsa',"RestrictAnonymous","1"
'HKLM:\Software\Microsoft\Windows NT\CurrentVersion\Winlogon',"CachedLogonsCount","1"
'HKLM:\Software\Policies\Microsoft\Windows\WindowsUpdate\AU',"NoAutoRebootWithLoggedOnUsers","0"
'HKLM:\Software\Policies\Microsoft\Windows\WindowsUpdate\AU',"NoAutoUpdate","0"
'HKLM:\Software\Policies\Microsoft\Windows\WinRM\Client',"AllowDigest","0"
'HKLM:\System\CurrentControlSet\Control\Session Manager\Memory Management',"ClearPageFileAtShutdown","1"
'HKLM:\Software\Microsoft\Windows NT\Currentversion\Winlogon',"AllocateDASD","0"
'HKLM:\Software\Microsoft\Windows NT\CurrentVersion\Winlogon',"PasswordExpiryWarning","14"
'HKLM:\Software\Microsoft\Windows\CurrentVersion\Policies\System',"LegalNoticeCaption","This is an interest computer system of ABB Asea Brown Boveri Ltd and/or its affiliates."
'HKLM:\System\CurrentControlSet\Control\Lsa',"CrashOnAuditFail","0"
'HKLM:\Software\Microsoft\Windows NT\CurrentVersion\Winlogon',"Allocatefloppies","1"
'HKLM:\SYSTEM\Currentcontrolset\Control\Print\Providers\Lanman Print Services\servers',"addprinterdrivers","1"
'HKLM:\System\Currentcontrolset\Control\Lsa',"NoLMHash","1"
'HKLM:\Software\Microsoft\Windows Nt\Currentversion\Winlogon',"AutoAdminLogon","0"
'HKLM:\System\Currentcontrolset\Services\Tcpip\Parameters',"DisableIPSourceRouting","2"
'HKLM:\Software\Microsoft\Windows NT\CurrentVersion\Winlogon',"AllocateCDRoms","1"
'HKLM:\System\CurrentControlSet\Services\IPSEC',"NoDefaultExempt","3"
'HKLM:\Software\Microsoft\Windows\CurrentVersion\Policies\Explorer',"NoDriveTypeAutoRun","255"
'HKLM:\System\Currentcontrolset\Services\Tcpip\Parameters',"PerformRouterDiscovery","0"
'HKLM:\System\Currentcontrolset\Control\Session Manager\Kernel',"ObCaseInsensitive","1"
'HKLM:\System\Currentcontrolset\Services\Lanmanserver\Parameters',"requiresecuritysignature","1"
'HKLM:\Software\Microsoft\Windows\CurrentVersion\Policies\System',"DontDisplayLastUserName","1"
'HKLM:\System\Currentcontrolset\Services\Tcpip\Parameters',"EnableICMPRedirect","0"
'HKLM:\System\Currentcontrolset\Services\Netbt\Parameters',"NoNameReleaseOnDemand","1"
'HKLM:\Software\Microsoft\Windows NT\CurrentVersion\Winlogon',"ScreenSaverGracePeriod","5"
'HKLM:\System\Currentcontrolset\Control\Lsa',"RestrictAnonymous","1"
'HKLM:\System\Currentcontrolset\Services\Lanmanserver\Parameters',"autodisconnect","15"
'HKLM:\System\Currentcontrolset\Services\Netlogon\Parameters',"RefusePasswordChange","0"
'HKLM:\System\Currentcontrolset\Services',"DHCP","4"
'HKLM:\System\Currentcontrolset\Control\Lsa',"LimitBlankPasswordUse","1"
'HKLM:\System\Currentcontrolset\Services\Spooler',"Start registry key","2"
'HKLM:\Software\Microsoft\Windows\CurrentVersion\Policies\System',"ShutdownWithoutLogon","0"
'HKLM:\System\Currentcontrolset\Services\Netlogon\Parameters',"RequireSignOrSeal","1"
'HKLM:\System\Currentcontrolset\Services\Netlogon\Parameters',"SealSecureChannel","1"
'HKLM:\System\Currentcontrolset\Services\Netlogon\Parameters',"SignSecureChannel","1"
'HKLM:\System\Currentcontrolset\Services\Netlogon\Parameters',"DisablePasswordChange","0"
'HKLM:\System\Currentcontrolset\Services\Netlogon\Parameters',"MaximumPasswordAge","30"
'HKLM:\System\Currentcontrolset\Services\Netlogon\Parameters',"RequireStrongKey","1"
'HKLM:\Software\Microsoft\Windows\CurrentVersion\Policies\System',"DisableCAD","0"
'HKLM:\Software\Microsoft\Windows Nt\Currentversion\Winlogon',"ForceUnlockLogon","1"
'HKLM:\Software\Microsoft\Windows NT\Currentversion\Winlogon'," ScRemoveOption","1"
'HKLM:\System\Currentcontrolset\Services\LanmanWorkstation\Parameters',"EnableSecuritySignature","1"
'HKLM:\System\Currentcontrolset\Services\LanmanWorkstation\Parameters',"EnablePlainTextPassword","0"
'HKLM:\System\Currentcontrolset\Services\Lanmanserver\Parameters',"EnableSecuritySignature","1"
'HKLM:\System\Currentcontrolset\Services\Lanmanserver\Parameters',"EnableForcedLogoff","1"
'HKLM:\System\Currentcontrolset\Control\Lsa',"EveryoneIncludesAnonymous","0"
'HKLM:\System\Currentcontrolset\Control\Lsa',"ForceGuest","0"
'HKLM:\System\Currentcontrolset\Control\Lsa',"LmCompatibilityLevel","5"
'HKLM:\System\Currentcontrolset\Services\LDAP',"LDAPClientIntegrity","2"
'HKLM:\System\Currentcontrolset\Control\Lsa\MSV1_0',"NTLMMinClientSec","537395200"
'HKLM:\System\Currentcontrolset\Control\Lsa\MSV1_0',"NTLMMinServerSec","537395200"
'HKLM:\Software\Microsoft\Windows NT\CurrentVersion\Setup\RecoveryConsole',"SecurityLevel","0"
'HKLM:\Software\Microsoft\Windows NT\CurrentVersion\Setup\RecoveryConsole',"SetCommand","0"
'HKLM:\System\Currentcontrolset\Control\Session Manager',"ProtectionMode","1"
'HKLM:\System\Currentcontrolset\Services',"TermService","2"
'HKLM:\System\Currentcontrolset\Services\NTDS\Parameters',"LDAPServerIntegrity","2"
'HKLM:\System\Currentcontrolset\Services\Lanmanserver\Parameters',"RestrictNullSessAccess","1"
'HKLM:\Software\Policies\Microsoft\Cryptography',"ForceKeyProtection","2"
'HKLM:\System\Currentcontrolset\Control\Session Manager',"SafeDllSearchMode","1"
'HKLM:\System\Currentcontrolset\Services\Eventlog\Security',"WarningLevel","75"
'HKLM:\System\Currentcontrolset\Services',"Netman","2"
'HKLM:\System\Currentcontrolset\Services',"RasMan","4"
'HKLM:\System\Currentcontrolset\Services',"Netlogon","2"
'HKLM:\System\Currentcontrolset\Services',"RemoteAccess","4"
'HKLM:\System\Currentcontrolset\Services',"upnphost","4"
'HKLM:\Software\Policies\Microsoft\Windows NT\Rpc',"RestrictRemoteClients","1"
'HKLM:\System\Currentcontrolset\Services',"Eventlog","2"
'HKLM:\Software\Policies\Microsoft\Peernet',"Disabled","1"
'HKLM:\Software\Microsoft\Windows\CurrentVersion\Policies\System',"EnableInstallerDetection","1"
'HKLM:\Software\Microsoft\Windows\CurrentVersion\Policies\System',"EnableLUA","1"
'HKLM:\Software\Microsoft\Windows\CurrentVersion\Policies\System',"EnableSecureUIAPaths","1"
'HKLM:\Software\Microsoft\Windows\CurrentVersion\Policies\System',"FilterAdministratorToken","1"
'HKLM:\Software\Microsoft\Windows\CurrentVersion\Policies\System',"ConsentPromptBehaviorAdmin","2"
'HKLM:\Software\Microsoft\Windows\CurrentVersion\Policies\System',"ConsentPromptBehaviorUser","0"
'HKLM:\Software\Microsoft\Windows\CurrentVersion\Policies\System',"PromptOnSecureDesktop","1"
'HKLM:\Software\Policies\Microsoft\Windows\Network Connections',"NC_ShowSharedAccessUI","0"
'HKLM:\System\Currentcontrolset\Control\Lsa',"SCENoApplyLegacyAuditPolicy","1"
'HKLM:\Software\Policies\Microsoft\Windows\WCN\UI',"DisableWcnUi","1"
'HKLM:\Software\Policies\Microsoft\Internet Explorer\Feeds',"DisableEnclosureDownload","1"
'HKLM:\Software\Policies\Microsoft\Windows\Network Connections',"NC_AllowNetBridge_NLA","0"
'HKLM:\Software\Policies\Microsoft\Windows NT\Terminal Services',"MinEncryptionLevel","3"
